Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,32.237253,-110.872305,,Large City
Pima Medical Institute-Tucson,"2121 N Craycroft Road, Bldg 1",Tucson,AZ,85712,32.248067,-110.878783,,Large City
Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,32.235657,-110.927187,,Large City
HDS Truck Driving Institute,6251 S. Wilmot Road,Tucson,AZ,85756,32.13887,-110.856474,,Rural Fringe
CollegeAmerica-Flagstaff,399 Malpais,Flagstaff,AZ,86001,35.194495,-111.657673,,Small City
Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,35.197151,-111.625936,,Small City
Prescott College,220 Grove Ave,Prescott,AZ,86301,34.5452,-112.477185,,Small City
Yavapai College,1100 E Sheldon St,Prescott,AZ,86301,34.547495,-112.453395,,Small City
Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,34.477485,-114.332686,,Small City
All Beauty College,2350 Miracle Mile Rd Unit 316,Bullhead City,AZ,86442,35.101946,-114.5945,,Remote Town
Dine College,"Route 12, One Circle Drive",Tsaile,AZ,86556,36.293328,-109.21684,,Rural Remote
Southwest University of Visual Arts-Albuquerque,M,Albuquerque,NM,87102,35.088818,-106.589352,,Large City
Brookline College-Albuquerque,4201 Central Ave NW-Ste J,Albuquerque,NM,87105,35.08781,-106.68749,,Large City
Central New Mexico Community College,525 Buena Vista Dr SE,Albuquerque,NM,87106,35.071878,-106.628861,,Large City
University of New Mexico-Main Campus,1700 Lomas Blvd NE,Albuquerque,NM,87106,35.083868,-106.620155,,Large City
A Better U Beauty Barber Academy,5400 Phoenix Ave NE Suite 105,Albuquerque,NM,87110,35.11063,-106.583765,,Large City
Pima Medical Institute-Albuquerque,4400 Cutler Avenue NE,Albuquerque,NM,87110,35.104855,-106.59488,,Large City
Toni & Guy Hairdressing Academy-Albuquerque,"2201 Uptown Loop Rd NE, Ste F",Albuquerque,NM,87110,35.102306,-106.566537,,Large City
Pima Medical Institute-Albuquerque West,8601 Golf Course Road NW,Albuquerque,NM,87114,35.181571,-106.687874,,Large City
University of New Mexico-Gallup Campus,705 Gurley Ave.,Gallup,NM,87301,35.502662,-108.727252,,Rural Fringe
Southwest Acupuncture College-Santa Fe,"2100 Calle de la Vuelta,  Suite D103",Santa Fe,NM,87505,35.6607,-105.95544,,Small City
Vogue College of Cosmetology-Santa Fe,2434 Cerillos Road,Santa Fe,NM,87505,35.659082,-105.981816,,Small City
Southwestern College,3960  San Felipe Road,Santa Fe,NM,87507,35.636241,-106.052585,,Small City
Northern New Mexico College,921 Paseo de Onate,Espanola,NM,87532,36.004073,-106.084395,,Distant Town
University of New Mexico-Los Alamos Campus,4000 University Dr,Los Alamos,NM,87544,35.886153,-106.319557,,Distant Town
University of New Mexico-Taos Campus,1157 County Road 110,Ranchos de Taos,NM,87557,36.348861,-105.651709,,Rural Fringe
Luna Community College,336 Luna Drive,Las Vegas,NM,87701,35.616303,-105.250865,,Rural Fringe
New Mexico Highlands University,803 University Ave,Las Vegas,NM,87701,35.596233,-105.219197,,Remote Town
New Mexico Institute of Mining and Technology,801 Leroy Place,Socorro,NM,87801,34.067041,-106.905211,,Remote Town
Burrell College of Osteopathic Medicine,3501 Arrowhead Drive,Las Cruces,NM,88001,32.278068,-106.737787,,Midsize Suburb
Glitz School of Cosmetology,2460 Missouri Avenue,Las Cruces,NM,88001,32.298355,-106.743159,,Midsize City
Computer Career Center-Las Cruces,"850 N Telshor Blvd, Suite K",Las Cruces,NM,88011,32.329467,-106.755137,,Midsize City
New Mexico State University-Dona Ana,2800 N. Sonoma Ranch Blvd.,Las Cruces,NM,88011,32.354486,-106.737172,,Rural Fringe
Western New Mexico University,1000 W. College Ave,Silver City,NM,88061,32.7767,-108.283284,,Remote Town
Eastern New Mexico University-Main Campus,"ENMU Station 2, 1500 S Ave K",Portales,NM,88130,34.175592,-103.34819,,Remote Town
New Mexico State University-Carlsbad,1500 University Drive,Carlsbad,NM,88220,32.442028,-104.265536,,Rural Fringe
New Mexico Junior College,5317 Lovington Hwy,Hobbs,NM,88240,32.757808,-103.182896,,Remote Town
University of the Southwest,6610 North Lovington Hwy,Hobbs,NM,88240,32.775496,-103.186948,,Rural Fringe
New Mexico State University-Alamogordo,2400 North Scenic Drive,Alamogordo,NM,88310,32.92033,-105.926241,,Rural Fringe
Eastern New Mexico University Ruidoso Branch Community College,709 Mechem Dr,Ruidoso,NM,88345,33.346376,-105.677273,,Remote Town
Nevada State College,1125 Nevada State Drive,Henderson,NV,89002,35.982345,-114.938044,,Rural Fringe
Roseman University of Health Sciences,11 Sunset Way,Henderson,NV,89014,36.073182,-115.064633,,Large City
Touro University Nevada,874 American Pacific Drive,Henderson,NV,89014,36.043189,-115.024012,,Large City
DeVry University-Nevada,"2490 Paseo Verde Pkwy., Ste. 150",Henderson,NV,89074,36.020266,-115.096601,,Large City
Expertise Cosmetology Institute,1911 Stella Lake Street,Las Vegas,NV,89106,36.193798,-115.164834,,Large City
Euphoria Institute of Beauty Arts & Sciences-Summerlin,9340 W. Sahara Ave Ste. 205,Las Vegas,NV,89117,36.147552,-115.298988,,Large City
European Massage Therapy School-Las Vegas,"9440 W. Sahara Ave., suite 250",Las Vegas,NV,89117,36.145445,-115.300577,,Large City
Aviation Institute of Maintenance-Las Vegas,5870 S. Eastern Ave.,Las Vegas,NV,89119,36.083117,-115.118122,,Midsize City
Carrington College-Las Vegas,"5740 S. Eastern Ave., Ste. 140",Las Vegas,NV,89119,36.08486,-115.118231,,Midsize City
Casal Institute of Nevada,4856 S Eastern Ave,Las Vegas,NV,89119,36.101143,-115.117387,,Midsize City
Institute of Professional Careers,4448 South Eastern Avenue,Las Vegas,NV,89119,36.108304,-115.118724,,Midsize City
Pima Medical Institute-Las Vegas,3333 East Flamingo Road,Las Vegas,NV,89121,36.114105,-115.102238,,Midsize City
Northwest Career College,"7398 Smoke Ranch Road, Ste 100",Las Vegas,NV,89128,36.203875,-115.255585,,Large City
Nevada Career Institute,3231 North Decatur Boulevard,Las Vegas,NV,89130,36.217975,-115.20842,,Large City
University of Phoenix-Nevada,3755 Breakthrough Way,Las Vegas,NV,89135,36.12164,-115.322506,,Large Suburb
Chamberlain University-Nevada,9901 Covington Cross Drive,Las Vegas,NV,89144,36.185176,-115.313525,,Large City
L Makeup Institute,440 S. Rampart Blvd. B-130,Las Vegas,NV,89145,36.166597,-115.286321,,Large City
Academy of Hair Design-Las Vegas,"5191 W. Charleston, #150",Las Vegas,NV,89146,36.15846,-115.210473,,Large City
University of Nevada-Las Vegas,4505 S Maryland Pky,Las Vegas,NV,89154,36.106047,-115.138462,,Midsize City
Milan Institute-Sparks,950 Industrial Way,Sparks,NV,89431,39.524564,-119.757909,,Large Suburb
Sierra Nevada University,999 Tahoe Blvd.,Incline Village,NV,89451,39.244278,-119.939125,,Distant Town
Milan Institute of Cosmetology-Reno,4020 Kietzke Lane,Reno,NV,89502,39.485964,-119.788456,,Large City
Paul Mitchell the School-Reno,1600 Holcomb Avenue,Reno,NV,89502,39.509232,-119.803848,,Large City
Carrington College-Reno,5580 Kietzke Ln.,Reno,NV,89511,39.463165,-119.786947,,Large City
Nevada System of Higher Education-System Office,2601 Enterprise Rd,Reno,NV,89512,39.551272,-119.812301,,Large City
University of Nevada-Reno,North Virginia Street,Reno,NV,89557,39.543642,-119.815377,,Large City
Great Basin College,1500 College Parkway,Elko,NV,89801,40.84343,-115.767274,,Remote Town
American Career College-Los Angeles,4021 Rosewood Avenue,Los Angeles,CA,90004,34.079323,-118.292481,,Large City
West Coast University-Center for Graduate Studies,590 North Vermont Avenue,Los Angeles,CA,90004,34.081505,-118.29131,,Large City
Palace Beauty College,1517 S Western Ave,Los Angeles,CA,90006,34.044739,-118.309491,,Large City
Mount Saint Mary's University - Doheny Campus,10 Chester Place,Los Angeles,CA,90007,34.030668,-118.277012,,Large City
Universal College of Beauty Inc-Los Angeles 2,3419 W 43rd Place,Los Angeles,CA,90008,34.004498,-118.332236,,Large City
Angeles College,3440 Wilshire Blvd Ste 310,Los Angeles,CA,90010,34.061223,-118.29903,,Large City
CBD College,"3699 Wilshire Blvd., Fourth Floor",Los Angeles,CA,90010,34.06231,-118.306221,,Large City
Hollywood Cultural College,3450 Wilshire Boulevard Suite 700,Los Angeles,CA,90010,34.061319,-118.299523,,Large City
Marian Health Careers Center-Los Angeles Campus,3325 Wilshire Blvd Ste 1010,Los Angeles,CA,90010,34.062096,-118.295073,,Large City
West Coast Ultrasound Institute,"3580 Wilshire Blvd., 4th Floor",Los Angeles,CA,90010,34.061409,-118.302836,,Large City
Los Angeles Community College District Office,770 Wilshire Blvd,Los Angeles,CA,90017,34.048969,-118.258047,,Large City
The Chicago School of Professional Psychology at Los Angeles,707 Wilshire Boulevard,Los Angeles,CA,90017,34.021456,-118.495041,,Small City
Learnet Academy Inc,"3251 West 6th Street, 2nd Floor",Los Angeles,CA,90020,34.063934,-118.293165,,Large City
World Mission University,500 Shatto Pl Ste 600,Los Angeles,CA,90020,34.064918,-118.289484,,Large City
Academy for Jewish Religion-California,574 Hilgard Avenue,Los Angeles,CA,90024,34.070281,-118.438495,,Large City
American Academy of Dramatic Arts-Los Angeles,1336 North La Brea Avenue,Los Angeles,CA,90028,34.095378,-118.343701,,Large City
Musicians Institute,6752 Hollywood Blvd.,Hollywood,CA,90028,34.101265,-118.337582,,Large City
Los Angeles City College,855 N Vermont Ave,Los Angeles,CA,90029,34.087301,-118.292169,,Large City
Reiss-Davis Graduate School,3200 Motor Ave.,Los Angeles,CA,90034,34.030844,-118.41001,,Large City
Career Development Institute Inc,1830 S Robertson Blvd,Los Angeles,CA,90035,34.045817,-118.386067,,Large City
International School of Cosmetology,464 N. Fairfax Ave,Los Angeles,CA,90036,34.080053,-118.361176,,Large City
Gnomon,1015 N Cahuenga Blvd Ste 54301,Hollywood,CA,90038,34.089501,-118.329083,,Large City
Borner's Barber College,8913 S Western Ave,Los Angeles,CA,90047,33.95588,-118.309291,,Large City
Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA,90059,33.925658,-118.242791,,Large Suburb
Yo San University of Traditional Chinese Medicine,13315 W. Washington Boulevard,Los Angeles,CA,90066,33.993287,-118.442756,,Large Suburb
University of Southern California,University Park,Los Angeles,CA,90089,34.021281,-118.284169,,Large City
Beverly Hills Design Institute,8484 Wilshire Blvd Suite #730,Beverly Hills,CA,90211,34.06463,-118.375621,,Large Suburb
Downey Adult School,12340 Woodruff Ave,Downey,CA,90241,33.91965,-118.115727,,Large Suburb
UEI College-Gardena,661 West Redondo Beach Boulevard,Gardena,CA,90247,33.893016,-118.287234,,Large City
American College of Healthcare and Technology,6330 Pacific Blvd Ste 201,Huntington Park,CA,90255,33.98271,-118.224752,,Large Suburb
United Education Institute-Huntington Park Campus,6055 Pacific Boulevard,Huntington Park,CA,90255,33.986057,-118.226206,,Large Suburb
Pepperdine University,24255 Pacific Coast Hwy,Malibu,CA,90263,34.037786,-118.707077,,Large Suburb
Advanced College,13180 Paramount Blvd.,South Gate,CA,90280,33.915383,-118.15794,,Large Suburb
University of West Los Angeles,9800 S. La Cienega Blvd.,Inglewood,CA,90301,33.947341,-118.36957,,Large Suburb
Emperor's College of Traditional Oriental Medicine,"1807 Wilshire Blvd, Ste #200",Santa Monica,CA,90403,34.030438,-118.485119,,Small City
Homestead Schools,23800 Hawthorne Blvd. Ste 200,Torrance,CA,90505,33.809096,-118.35009,,Midsize City
El Camino Community College District,16007 Crenshaw Blvd,Torrance,CA,90506,33.885229,-118.329913,,Large Suburb
Whittier College,13406 E Philadelphia Street,Whittier,CA,90601,33.978773,-118.032299,,Large Suburb
Southern California University of Health Sciences,16200 East Amber Valley Drive,Whittier,CA,90604,33.922966,-117.983401,,Large Suburb
Beyond 21st Century Beauty Academy,13640 Imperial Hwy Ste 6-8,Santa Fe Springs,CA,90670,33.916443,-118.041477,,Large Suburb
NTMA Training Centers of Southern California,12131 Telegraph Road,Santa Fe Springs,CA,90670,33.94302,-118.074231,,Large Suburb
Fremont College,18000 Studebaker Road Suite 900A,Cerritos,CA,90703,33.868382,-118.097019,,Large Suburb
PCI College,17215 Studebaker Rd #310,Cerritos,CA,90703,33.87475,-118.100169,,Large Suburb
National Polytechnic College,4105 South Street,Lakewood,CA,90712,33.860528,-118.143809,,Large Suburb
Touro University Worldwide,10601 Calle Lee  #179,Los Alamitos,CA,90720,33.808683,-118.057754,,Large Suburb
John Wesley International Barber and Beauty College,920 Atlantic Avenue Suite 200,Long Beach,CA,90813,33.778235,-118.18469,,Large City
Paul Mitchell the School-Pasadena,825 E Green Street,Pasadena,CA,91101,34.144765,-118.133403,,Midsize City
Providence Christian College,464 E Walnut St,Pasadena,CA,91101,34.149327,-118.141062,,Midsize City
University of the People,595 E Colorado Blvd Suite 623,Pasadena,CA,91101,34.146167,-118.138047,,Midsize City
Art Center College of Design,1700 Lida St,Pasadena,CA,91103,34.169031,-118.185102,,Midsize City
Capstone College,1200 N. Fair Oaks Ave Suite 32,Pasadena,CA,91103,34.165741,-118.149478,,Midsize City
Pacific Oaks College,45 W Eureka Street,Pasadena,CA,91103,34.153382,-118.151323,,Midsize City
Saybrook University,55 W Eureka Street,Pasadena,CA,91103,34.153103,-118.152155,,Midsize City
Integrity College of Health,1460 N Lake Ave Suite 102,Pasadena,CA,91104,34.171252,-118.131722,,Midsize City
Los Angeles College of Music,300 S Fair Oaks Ave,Pasadena,CA,91105,34.139293,-118.150113,,Midsize City
Pathways College,320 N. Halstead St.,Pasadena,CA,91107,34.152285,-118.078697,,Midsize City
California Institute of Technology,1200 E California Blvd,Pasadena,CA,91125,34.137349,-118.125878,,Midsize City
Fuller Theological Seminary,135 N Oakland Ave,Pasadena,CA,91182,34.14778,-118.140261,,Midsize City
Brand College,529 Hahn Ave Ste 101,Glendale,CA,91203,34.15799,-118.265551,,Midsize City
Glendale Career College,240 North Brand Boulevard Lower Level,Glendale,CA,91203,34.149771,-118.254719,,Midsize City
North-West College-Glendale,221 North Brand,Glendale,CA,91203,34.148981,-118.255462,,Midsize City
Abraham Lincoln University,"100 West Broadway, Suite 600",Glendale,CA,91210,34.146294,-118.256726,,Midsize City
Valley College of Medical Careers,8399 Topanga Canyon Blvd Ste 200,West Hills,CA,91304,34.221839,-118.606731,,Large City
Academy for Salon Professionals,19520 Nordhoff St. Unit 9,Northridge,CA,91324,34.23396,-118.558215,,Large City
California State University-Northridge,18111 Nordhoff St,Northridge,CA,91330,34.240126,-118.529319,,Large City
National Career College,14355 Roscoe Blvd,Panorama City,CA,91402,34.22245,-118.446211,,Large City
Paul Mitchell the School-Sherman Oaks,15301 Ventura Blvd Unit P2,Sherman Oaks,CA,91403,34.155811,-118.467369,,Large City
Casa Loma College-Van Nuys,6725 Kester Ave,Van Nuys,CA,91405,34.192829,-118.457781,,Large City
Marian Health Careers Center-Van Nuys Campus,5900 Sepulveda Blvd Ste 101,Van Nuys,CA,91411,34.177483,-118.465561,,Large City
North-West College-Van Nuys,14540 Haynes,Van Nuys,CA,91411,34.189497,-118.450184,,Large City
Make-up Designory,129 S. San Fernando Blvd.,Burbank,CA,91502,34.180238,-118.308336,,Midsize City
New York Film Academy,3300 West Riverside Drive,Burbank,CA,91505,34.152076,-118.335567,,Midsize City
Southern California Health Institute,5644 Vineland Ave,North Hollywood,CA,91601,34.173485,-118.370014,,Large City
West Coast University-Los Angeles,12215 Victory Boulevard,North Hollywood,CA,91606,34.187134,-118.39941,,Large City
Harvey Mudd College,301 Platt Blvd.,Claremont,CA,91711,34.106515,-117.709837,,Large Suburb
Keck Graduate Institute,535 Watson Dr,Claremont,CA,91711,34.093329,-117.72351,,Large Suburb
The Fab School,9571 Pittsburgh Avenue,Rancho Cucamonga,CA,91730,34.079866,-117.555168,,Large Suburb
Professional Institute of Beauty,10801 E. Valley Mall,El Monte,CA,91731,34.075561,-118.039028,,Large Suburb
Baldy View Regional Occupational Program,1501 Bon View Avenue,Ontario,CA,91761,34.046457,-117.636712,,Midsize City
University of Phoenix-California,3110 East Guasti Road,Ontario,CA,91761,34.065748,-117.58377,,Midsize City
West Coast University-Ontario,2855 E. Guasti Rd,Ontario,CA,91761,34.066591,-117.590035,,Midsize City
American Career College-Ontario,3130 East Sedona Court,Ontario,CA,91764,34.068204,-117.583814,,Midsize City
Carrington College-Ontario,4580 Ontario Mills Parkway #200,Ontario,CA,91764,34.068584,-117.55038,,Midsize City
DeVry University-California,"2970 E Inland Empire Blvd, Ste 100",Ontario,CA,91764,34.068481,-117.5876,,Midsize City
Platt College-Ontario,"3700 Inland Empire Boulevard, Ste 400",Ontario,CA,91764,34.068595,-117.571744,,Midsize City
California State Polytechnic University-Pomona,3801 W Temple Avenue,Pomona,CA,91768,34.057912,-117.821476,,Large Suburb
North-West College-Pomona,170  W Holt Ave,Pomona,CA,91768,34.062043,-117.751227,,Large Suburb
University of the West,1409 Walnut Grove Ave,Rosemead,CA,91770,34.045985,-118.082964,,Large Suburb
Palladium Technical Academy Inc,10229 Lower Azusa Rd.,Temple City,CA,91780,34.091838,-118.04358,,Large Suburb
Salon Success Academy-Upland,1385 E. Foothill Blvd,Upland,CA,91786,34.108247,-117.631783,,Large Suburb
American Beauty College,652 S. Sunset Ave,West Covina,CA,91790,34.069367,-117.936959,,Large Suburb
East San Gabriel Valley Regional Occupational Program,1501 W Del Norte St.,West Covina,CA,91790,34.076805,-117.937116,,Large Suburb
North-West College-West Covina,2101 W Garvey Ave,West Covina,CA,91790,34.072071,-117.949583,,Large Suburb
InterCoast Colleges-West Covina,2235 East Garvey Ave. North,W. Covina,CA,91791,34.073416,-117.89763,,Large Suburb
Alhambra Beauty College,200 W Main St,Alhambra,CA,91801,34.093916,-118.129041,,Large Suburb
Alhambra Medical University,2215 W. Mission Road,Alhambra,CA,91803,34.080181,-118.148684,,Large Suburb
Alliant International University-Los Angeles,"1000 South Fremont Ave, #5",Alhambra,CA,91803,34.081723,-118.150013,,Large Suburb
California Institute of Advanced Management,"1000 S. Fremont Ave. Mailbox #45, Bldg A10, 4th Floor, Suite 10402",Alhambra,CA,91803,34.082467,-118.15055,,Large Suburb
Platt College-Los Angeles,"1000 South Fremont Avenue, A10",Alhambra,CA,91803,34.081723,-118.150013,,Large Suburb
Pima Medical Institute-Chula Vista,780 Bay Blvd Suite101,Chula Vista,CA,91910,32.619858,-117.093388,,Large City
Bellus Academy-Chula Vista,"970 Broadway, Suite 110",Chula Vista,CA,91911,32.614773,-117.083738,,Large City
San Diego Culinary Institute,8024 La Mesa Blvd,La Mesa,CA,91942,32.763846,-117.024063,,Large Suburb
Gemological Institute of America-Carlsbad,5345 Armada Dr,Carlsbad,CA,92008,33.131313,-117.318765,,Midsize City
Cuyamaca College,900 Rancho San Diego Pky,El Cajon,CA,92019,32.744954,-116.943507,,Large Suburb
ATA College,"1810 Gillespie Way, Suite 104",El Cajon,CA,92020,32.819023,-116.981781,,Large Suburb
Bellus Academy-El Cajon,1073 E Main St,El Cajon,CA,92021,32.794072,-116.94627,,Large Suburb
Escondido Adult School,220 W Crest Street,Escondido,CA,92025,33.131225,-117.088454,,Large Suburb
Healing Hands School of Holistic Health,125 W Mission Ave Ste 212,Escondido,CA,92025,33.129652,-117.086211,,Large Suburb
John Paul the Great Catholic University,155 W. Grand Ave,Escondido,CA,92025,33.12085,-117.082401,,Large Suburb
Westminster Theological Seminary in California,1725 Bear Valley Parkway,Escondido,CA,92027,33.121447,-117.046371,,Large Suburb
Northcentral University,11355 N. Torrey Pines Road,La Jolla,CA,92037,32.910805,-117.243889,,Large City
Bellus Academy-Poway,13266 Poway Rd,Poway,CA,92064,32.957184,-117.042531,,Small City
Poway Adult School,13626 Twin Peaks Road,Poway,CA,92064,32.978817,-117.035819,,Small City
University of Saint Katherine,1637 Capalina Road,San Marcos,CA,92069,33.151283,-117.196552,,Large Suburb
University of St. Augustine for Health Sciences,700 Windy Point Drive,San Marcos,CA,92069,33.151849,-117.165964,,Large Suburb
San Diego Christian College,200 Riverview Parkway,Santee,CA,92071,32.842404,-116.978112,,Large Suburb
Palomar Institute of Cosmetology,355 Via Vera Cruz #3,San Marcos,CA,92078,33.13663,-117.188351,,Large Suburb
Vista Adult School,510 Sunset Drive,Vista,CA,92081,33.187334,-117.240253,,Large Suburb
University of California-San Diego,9500 Gilman Dr,La Jolla,CA,92093,32.877749,-117.235866,,Large City
California International Business University,550 West B Street,San Diego,CA,92101,32.718063,-117.168019,,Large City
Newschool of Architecture and Design,1249 F St,San Diego,CA,92101,32.71331,-117.153305,,Large City
Paul Mitchell the School-San Diego,410 A Street,San Diego,CA,92101,32.719128,-117.160838,,Large City
Thomas Jefferson School of Law,701 B Street - Suite 110,San Diego,CA,92101,32.717595,-117.157862,,Large City
CET-San Diego,4153 Market Street,San Diego,CA,92102,32.711302,-117.105328,,Large City
High Tech High Graduate School of Education,2861 Womble Road,San Diego,CA,92106,32.732001,-117.217661,,Large City
California Miramar University,"3550 Camino Del Rio North, Suite 208",San Diego,CA,92108,32.77942,-117.11851,,Large City
San Diego Community College District-District Office,3375 Camino del Rio South,San Diego,CA,92108,32.776275,-117.120504,,Large City
United States University,7675 Mission Valley Road,San Diego,CA,92108,32.7769,-117.154904,,Large City
Franciscan School of Theology,5998 Alcala Park,San Diego,CA,92110,32.770816,-117.192073,,Large City
Southern States University,"1094 Cuhady Place, #120",San Diego,CA,92110,32.767544,-117.201297,,Large City
California College San Diego,6602 Convoy Court Ste 100,San Diego,CA,92111,32.835221,-117.166966,,Large City
Bethel Seminary-San Diego,6116 Arosa St,San Diego,CA,92115,32.765387,-117.06605,,Large City
Design Institute of San Diego,8555 Commerce Ave,San Diego,CA,92121,32.880926,-117.167374,,Large City
Ashford University,8620 Spectrum Center Boulevard,San Diego,CA,92123,32.8273,-117.141961,,Large City
Alliant International University-San Diego,10455 Pomerado Road,San Diego,CA,92131,32.897056,-117.094398,,Large City
California Indian Nations College,"75080 Frank Sinatra Dr, Ste 222",Palm Desert,CA,92211,33.773732,-116.353365,,Small City
Milan Institute-Palm Desert,"75-030 Gerald Ford Drive, Suite 203",Palm Desert,CA,92211,33.783343,-116.353268,,Small City
Beaumont Adult School,1575 Cherry Ave,Beaumont,CA,92223,33.951365,-116.964728,,Large Suburb
Palo Verde College,One College Drive,Blythe,CA,92225,33.661538,-114.651698,,Rural Distant
San Diego State University-Imperial Valley Campus,720 Heber Ave,Calexico,CA,92231,32.672219,-115.49306,,Midsize Suburb
Mayfield College,35-325 Date Palm Dr Ste 101,Cathedral City,CA,92234,33.790822,-116.458827,,Large Suburb
CET-Coachella,"49-111 Highway 111, Ste. 5",Coachella,CA,92236,33.692248,-116.185875,,Large Suburb
CET-El Centro,294 S 3rd St,El Centro,CA,92243,32.790908,-115.549079,,Small City
Copper Mountain Community College,6162 Rotary Way,Joshua Tree,CA,92252,34.140464,-116.213939,,Rural Distant
Coachella Valley Beauty College,79450 Highway 111,La Quinta,CA,92253,33.708193,-116.278254,,Large Suburb
Milan Institute of Cosmetology-La Quinta,78-900 Highway 111,La Quinta,CA,92253,33.711954,-116.288341,,Large Suburb
College of the Desert,43-500 Monterey Ave,Palm Desert,CA,92260,33.732108,-116.388271,,Small City
California Nurses Educational Institute,5200 E. Ramon Rd. Suite I-1,Palm Springs,CA,92264,33.816672,-116.490142,,Large Suburb
Barstow Community College,2700 Barstow Road,Barstow,CA,92311,34.870285,-117.023412,,Distant Town
CET-Colton,1099 N. Pepper Ave,Colton,CA,92324,34.077381,-117.353488,,Large Suburb
Salon Success Academy-Fontana,16803 Arrow Hwy,Fontana,CA,92335,34.099087,-117.437904,,Large Suburb
Loma Linda University,11139 Anderson Street,Loma Linda,CA,92350,34.051241,-117.260605,,Large Suburb
Salon Success Academy-Redlands,1915 W Redlands Blvd Ste 111,Redlands,CA,92373,34.062342,-117.218933,,Small City
Oak Valley College,2759 Ayala Drive,Rialto,CA,92377,34.150067,-117.39089,,Large Suburb
San Bernardino Community College District,"550 E. Hospitality Lane, Suite 200",San Bernardino,CA,92408,34.067005,-117.273664,,Midsize City
Summit College,804 E Brier Dr,San Bernardino,CA,92408,34.072073,-117.26818,,Midsize City
North-West College-Riverside,4550 La Sierra Ave,Riverside,CA,92503,33.9145,-117.485881,,Large City
American College of Healthcare and Technology,"11801 Pierce St., Suite 100",Riverside,CA,92505,33.901581,-117.493507,,Large City
Riverside City College,4800 Magnolia Avenue,Riverside,CA,92506,33.970918,-117.384323,,Large City
Salon Success Academy-Riverside,6780 Indiana Ave. Ste #200,Riverside,CA,92506,33.943149,-117.391024,,Large City
California Technical Academy,1285 Columbia Ave,Riverside,CA,92507,34.002717,-117.339245,,Large City
InterCoast Colleges-Riverside,1989 Atlanta Ave,Riverside,CA,92507,33.993598,-117.344752,,Large City
Platt College-Riverside,6465 Sycamore Canyon Blvd Ste 100,Riverside,CA,92507,33.932923,-117.298365,,Large City
Riverside County Office of Education-School of Career Education,2100 E. Alessandro Blvd.,Riverside,CA,92508,33.91733,-117.294699,,Large City
University of California-Riverside,900 University Ave,Riverside,CA,92521,33.97246,-117.32741,,Large City
Coachella Valley Beauty College-Hemet,3643 W. Florida Ave.,Hemet,CA,92545,33.745675,-117.010783,,Midsize Suburb
Moreno Valley College,16130 Lasselle St,Moreno Valley,CA,92551,33.88744,-117.20271,,Large Suburb
Royale College of Beauty and Barbering,27485 Commerce Center Dr,Temecula,CA,92590,33.515476,-117.164541,,Midsize City
The University of America,41707 Winchester  Road,Temecula,CA,92590,33.519293,-117.167871,,Midsize City
Paul Mitchell the School-Temecula,27536 Ynez Rd Ste E-1,Temecula,CA,92591,33.507316,-117.146674,,Midsize City
Professional Golfers Career College,26109 Ynez Road,Temecula,CA,92591,33.528952,-117.163739,,Midsize City
High Desert Medical College - Temecula,31625 De Portola Road Suite 200,Temecula,CA,92592,33.482846,-117.104588,,Midsize City
Alliant International University-Irvine,"2855 Michelle Drive, Suite 300",Irvine,CA,92606,33.719624,-117.798177,,Large City
Stanbridge University,2041 Business Ctr Dr Ste 107,Irvine,CA,92612,33.678879,-117.857636,,Large City
The Chicago School of Professional Psychology at Irvine,4199 Campus Dr,Irvine,CA,92612,33.650763,-117.838089,,Large City
Westcliff University,"17877 Von Karman Ave, Suite 400",Irvine,CA,92614,33.685537,-117.847973,,Large City
Brandman University,16355 Laguna Canyon Road,Irvine,CA,92618,33.656401,-117.769012,,Large City
Coast Community College District Office,1370 Adams Ave.,Costa Mesa,CA,92626,33.674004,-117.916066,,Midsize City
Orange Coast College,2701 Fairview Road,Costa Mesa,CA,92626,33.66927,-117.909086,,Midsize City
Pacific College,3160 Red Hill Ave,Costa Mesa,CA,92626,33.680043,-117.873382,,Midsize City
Paul Mitchell the School-Costa Mesa,"3309 Hyland Ave., Suite J",Costa Mesa,CA,92626,33.695103,-117.927468,,Midsize City
TONI&GUY Hairdressing Academy - Costa Mesa,3400 Bristol Street,Costa Mesa,CA,92626,33.693088,-117.885047,,Midsize City
Vanguard University of Southern California,55 Fair Dr,Costa Mesa,CA,92626,33.662686,-117.900911,,Midsize City
Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,CA,92651,33.561448,-117.772564,,Rural Fringe
Interior Designers Institute,1061 Camelback Street,Newport Beach,CA,92660,33.641393,-117.865722,,Small City
Asian-American International Beauty College,7871 Westminster Blvd,Westminster,CA,92683,33.759524,-117.991643,,Large Suburb
